"bank_id","category_id","category_key","label","color","color_css","emoji","active","quesito_default"
"B2026-08-18","AL","B2026-08-18|AL","Arte y Literatura","Rosa","#ec4899","🩷","true","true"
"B2026-08-18","LI","B2026-08-18|LI","Lengua e Idiomas","Marrón","#92400e","🤎","true","true"
"B2026-08-18","FI","B2026-08-18|FI","Física y Ciencias Naturales","Verde","#22c55e","💚","true","true"
"B2026-08-18","HI","B2026-08-18|HI","Historia","Amarillo","#eab308","💛","true","true"
"B2026-08-18","IN","B2026-08-18|IN","Informática y Tecnología","Azul","#3b82f6","💙","true","true"
"B2026-08-18","NE","B2026-08-18|NE","Neurociencia y Psicología","Morado","#8b5cf6","💜","true","true"
"B2026-08-18","DE","B2026-08-18|DE","Deportes","Turquesa","#14b8a6","🏅","true","true"
"B2026-08-18","FL","B2026-08-18|FL","Filosofía","Índigo","#6366f1","🏛️","true","true"
"B2026-08-18","DR","B2026-08-18|DR","Derecho español","Rojo","#ef4444","⚖️","true","true"
"B2026-08-18","MU","B2026-08-18|MU","Música","Cian","#06b6d4","🎵","true","true"
"B2026-08-18","GA","B2026-08-18|GA","Gastronomía española","Naranja","#f97316","🥘","true","true"
"B2026-08-18","ME","B2026-08-18|ME","Medicina","Carmesí","#e11d48","🩺","true","true"
