"question_key","bank_id","question_id","category_id","level_key","prompt","answer","explanation","status","source_status","random_order","order_key"
"B2026-08-18|IN-001","B2026-08-18","IN-001","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué significan las siglas CPU en informática?","Unidad Central de Procesamiento (Central Processing Unit).","La CPU ejecuta instrucciones y coordina gran parte del procesamiento general de un ordenador.","active","no administrada","9","B2026-08-18|000009|IN-001"
"B2026-08-18|IN-002","B2026-08-18","IN-002","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué tipo de memoria de un ordenador pierde normalmente su contenido al apagarse: RAM o almacenamiento en disco?","La RAM.","La memoria RAM ordinaria es volátil y se usa para mantener datos e instrucciones en uso.","active","no administrada","12","B2026-08-18|000012|IN-002"
"B2026-08-18|IN-003","B2026-08-18","IN-003","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué protocolo es la base de la transferencia de páginas y recursos en la World Wide Web?","HTTP.","HTTP define cómo clientes y servidores web intercambian solicitudes y respuestas.","retired","administrada","4","B2026-08-18|000004|IN-003"
"B2026-08-18|IN-004","B2026-08-18","IN-004","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué sistema traduce nombres de dominio como «example.com» a direcciones IP?","El DNS.","El Sistema de Nombres de Dominio permite localizar servicios de Internet mediante nombres legibles.","retired","administrada","8","B2026-08-18|000008|IN-004"
"B2026-08-18|IN-005","B2026-08-18","IN-005","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué sistema de numeración utiliza únicamente los dígitos 0 y 1?","El sistema binario.","La informática digital representa datos mediante bits que toman los valores 0 o 1.","active","no administrada","18","B2026-08-18|000018|IN-005"
"B2026-08-18|IN-006","B2026-08-18","IN-006","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué programador creó el núcleo Linux en 1991?","Linus Torvalds.","Torvalds inició Linux como un proyecto personal que después se convirtió en un núcleo de sistemas operativos ampliamente usado.","retired","administrada","6","B2026-08-18|000006|IN-006"
"B2026-08-18|IN-008","B2026-08-18","IN-008","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","En una base de datos relacional, ¿cómo se llama el campo o conjunto de campos que identifica de forma única cada fila de una tabla?","Clave primaria.","La clave primaria impide que dos filas compartan el mismo identificador lógico.","active","no administrada","20","B2026-08-18|000020|IN-008"
"B2026-08-18|IN-009","B2026-08-18","IN-009","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se llama el programa que traduce código fuente a código máquina o a otra representación ejecutable antes de su ejecución?","Compilador.","Un compilador transforma un programa escrito en un lenguaje de alto nivel a una forma que la máquina puede ejecutar o procesar.","active","no administrada","14","B2026-08-18|000014|IN-009"
"B2026-08-18|IN-010","B2026-08-18","IN-010","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué protocolo se utiliza tradicionalmente para enviar correo electrónico entre servidores?","SMTP.","SMTP es el protocolo estándar para la transferencia de correo saliente entre sistemas de correo.","active","no administrada","17","B2026-08-18|000017|IN-010"
"B2026-08-18|IN-011","B2026-08-18","IN-011","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué significan las siglas CSV, formato muy utilizado para intercambiar datos tabulares?","Comma-Separated Values, o valores separados por comas.","CSV representa filas y columnas en texto plano mediante separadores.","retired","administrada","3","B2026-08-18|000003|IN-011"
