"question_key","bank_id","question_id","category_id","level_key","prompt","answer","explanation","status","source_status","random_order","order_key"
"B2026-08-18|AL-001","B2026-08-18","AL-001","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué pintor español es autor de «Las meninas»?","Diego Velázquez.","Velázquez pintó la obra en 1656 para la corte de Felipe IV; hoy se conserva en el Museo del Prado.","retired","administrada","5","B2026-08-18|000005|AL-001"
"B2026-08-18|AL-002","B2026-08-18","AL-002","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Quién escribió la novela «La Regenta»?","Leopoldo Alas, «Clarín».","Publicada en 1884-1885, es una de las grandes novelas del realismo español.","retired","administrada","9","B2026-08-18|000009|AL-002"
"B2026-08-18|AL-003","B2026-08-18","AL-003","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿A qué movimiento literario del siglo XIX pertenecen Gustavo Adolfo Bécquer y José de Espronceda?","Al Romanticismo.","Ambos son figuras centrales del Romanticismo español, aunque Bécquer pertenece a una fase tardía del movimiento.","active","no administrada","19","B2026-08-18|000019|AL-003"
"B2026-08-18|AL-004","B2026-08-18","AL-004","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué pintor realizó «El 3 de mayo de 1808 en Madrid»?","Francisco de Goya.","Goya representó en esta obra de 1814 los fusilamientos posteriores al levantamiento madrileño contra las tropas napoleónicas.","retired","administrada","7","B2026-08-18|000007|AL-004"
"B2026-08-18|AL-005","B2026-08-18","AL-005","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Quién escribió «La metamorfosis»?","Franz Kafka.","La narración, publicada en 1915, comienza con la transformación de Gregor Samsa en un enorme insecto.","active","no administrada","18","B2026-08-18|000018|AL-005"
"B2026-08-18|AL-006","B2026-08-18","AL-006","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué arquitecto catalán diseñó la basílica de la Sagrada Familia de Barcelona?","Antoni Gaudí.","Gaudí asumió el proyecto en 1883 y lo convirtió en una de las obras emblemáticas del modernismo catalán.","retired","administrada","11","B2026-08-18|000011|AL-006"
"B2026-08-18|AL-007","B2026-08-18","AL-007","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","En la tradición poética española, ¿cómo se llama la composición de catorce versos, normalmente endecasílabos, distribuidos en dos cuartetos y dos tercetos?","Soneto.","Esa es la estructura clásica del soneto en castellano, heredada de la tradición italiana.","active","no administrada","14","B2026-08-18|000014|AL-007"
"B2026-08-18|AL-008","B2026-08-18","AL-008","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Quién escribió «La Divina Comedia»?","Dante Alighieri.","Dante compuso este poema narrativo en el siglo XIV, dividido en Infierno, Purgatorio y Paraíso.","active","no administrada","20","B2026-08-18|000020|AL-008"
"B2026-08-18|AL-009","B2026-08-18","AL-009","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué pintor francés dio nombre al impresionismo con su obra «Impresión, sol naciente»?","Claude Monet.","El título del cuadro inspiró el término «impresionismo», inicialmente usado de forma crítica.","retired","administrada","10","B2026-08-18|000010|AL-009"
"B2026-08-18|AL-010","B2026-08-18","AL-010","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Quién escribió «Madame Bovary»?","Gustave Flaubert.","La novela, publicada en 1857, es una obra fundamental del realismo francés.","retired","administrada","1","B2026-08-18|000001|AL-010"
"B2026-08-18|AL-011","B2026-08-18","AL-011","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué artista renacentista pintó «La escuela de Atenas» en las estancias vaticanas?","Rafael Sanzio.","Rafael representó en el fresco a filósofos de la Antigüedad dentro de una arquitectura idealizada.","retired","administrada","2","B2026-08-18|000002|AL-011"
"B2026-08-18|AL-012","B2026-08-18","AL-012","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué novela de Gabriel García Márquez narra la historia de la familia Buendía en Macondo?","«Cien años de soledad».","La novela de 1967 es una de las obras más representativas del realismo mágico.","retired","administrada","6","B2026-08-18|000006|AL-012"
"B2026-08-18|AL-013","B2026-08-18","AL-013","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué pintor neerlandés es autor de «La noche estrellada»?","Vincent van Gogh.","Van Gogh pintó la obra en 1889 durante su estancia en Saint-Rémy-de-Provence.","retired","administrada","12","B2026-08-18|000012|AL-013"
