"question_key","bank_id","question_id","category_id","level_key","prompt","answer","explanation","status","source_status","random_order","order_key"
"B2026-08-18|HI-001","B2026-08-18","HI-001","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué ciudad romana quedó sepultada por la erupción del Vesubio del año 79 d. C. y fue redescubierta siglos después?","Pompeya.","La erupción enterró Pompeya bajo materiales volcánicos, preservando gran parte de la ciudad.","retired","administrada","10","B2026-08-18|000010|HI-001"
"B2026-08-18|HI-002","B2026-08-18","HI-002","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué declaración aprobada en Francia en 1789 proclamó derechos como la libertad y la igualdad jurídica?","La Declaración de los Derechos del Hombre y del Ciudadano.","Fue uno de los textos fundamentales de la Revolución francesa.","retired","administrada","3","B2026-08-18|000003|HI-002"
"B2026-08-18|HI-003","B2026-08-18","HI-003","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se conoce la protesta de 1773 en la que colonos americanos arrojaron cargamentos de té al puerto de Boston?","El Motín del Té de Boston o Boston Tea Party.","La protesta contra los impuestos británicos fue uno de los episodios previos a la independencia estadounidense.","active","no administrada","17","B2026-08-18|000017|HI-003"
"B2026-08-18|HI-004","B2026-08-18","HI-004","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué imperio gobernó Akbar el Grande en el siglo XVI?","El Imperio mogol.","Akbar amplió y consolidó el Imperio mogol en gran parte del subcontinente indio.","retired","administrada","7","B2026-08-18|000007|HI-004"
"B2026-08-18|HI-005","B2026-08-18","HI-005","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué batalla de 1066 permitió a Guillermo el Conquistador hacerse con la corona de Inglaterra?","La batalla de Hastings.","La victoria normanda sobre Haroldo II abrió una nueva etapa en la historia inglesa.","active","no administrada","18","B2026-08-18|000018|HI-005"
"B2026-08-18|HI-006","B2026-08-18","HI-006","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué congreso reorganizó el mapa político europeo tras la derrota de Napoleón?","El Congreso de Viena.","Celebrado entre 1814 y 1815, buscó restaurar el equilibrio entre las potencias europeas.","retired","administrada","9","B2026-08-18|000009|HI-006"
"B2026-08-18|HI-008","B2026-08-18","HI-008","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué guerra enfrentó principalmente a Atenas y Esparta en el siglo V a. C.?","La guerra del Peloponeso.","El conflicto enfrentó a las alianzas lideradas por Atenas y Esparta entre 431 y 404 a. C.","retired","administrada","13","B2026-08-18|000013|HI-008"
"B2026-08-18|HI-009","B2026-08-18","HI-009","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué dinastía gobernó China entre 1368 y 1644?","La dinastía Ming.","Los Ming sucedieron a la dinastía Yuan y fueron reemplazados por los Qing.","retired","administrada","12","B2026-08-18|000012|HI-009"
"B2026-08-18|HI-010","B2026-08-18","HI-010","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué emperador romano promovió en 380 el cristianismo niceno como religión oficial del Imperio mediante el Edicto de Tesalónica?","Teodosio I.","El Edicto de Tesalónica fue promulgado por Teodosio I junto con Graciano y Valentiniano II.","retired","administrada","11","B2026-08-18|000011|HI-010"
"B2026-08-18|HI-011","B2026-08-18","HI-011","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué civilización de Mesopotamia desarrolló la escritura cuneiforme a finales del IV milenio a. C.?","La civilización sumeria.","Los sumerios emplearon signos impresos sobre tablillas de arcilla, inicialmente con fines administrativos.","retired","administrada","16","B2026-08-18|000016|HI-011"
"B2026-08-18|HI-012","B2026-08-18","HI-012","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué revolución rusa de 1917 provocó la abdicación del zar Nicolás II?","La Revolución de Febrero.","La Revolución de Febrero derribó la monarquía; la de Octubre llevó después a los bolcheviques al poder.","retired","administrada","14","B2026-08-18|000014|HI-012"
"B2026-08-18|HI-013","B2026-08-18","HI-013","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué líder independentista sudamericano fue conocido como «el Libertador» y dio nombre a Bolivia?","Simón Bolívar.","Bolívar desempeñó un papel central en la independencia de varios territorios hispanoamericanos.","retired","administrada","5","B2026-08-18|000005|HI-013"
"B2026-08-18|HI-014","B2026-08-18","HI-014","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué conflicto medieval enfrentó de forma intermitente a las coronas de Inglaterra y Francia entre 1337 y 1453?","La Guerra de los Cien Años.","Aunque duró más de un siglo, la denominación agrupa varias fases de guerra entre ambas monarquías.","retired","administrada","15","B2026-08-18|000015|HI-014"
"B2026-08-18|HI-015","B2026-08-18","HI-015","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué paz de 1555 consagró en el Sacro Imperio la fórmula «cuius regio, eius religio»?","La Paz de Augsburgo.","El acuerdo permitió a los príncipes imperiales elegir entre catolicismo y luteranismo para sus territorios.","retired","administrada","1","B2026-08-18|000001|HI-015"
"B2026-08-18|HI-016","B2026-08-18","HI-016","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué líder chino encabezó la Rebelión Taiping del siglo XIX y afirmó ser hermano menor de Jesucristo?","Hong Xiuquan.","Hong Xiuquan dirigió el Reino Celestial Taiping durante una de las guerras civiles más devastadoras de la historia.","retired","administrada","4","B2026-08-18|000004|HI-016"
"B2026-08-18|HI-017","B2026-08-18","HI-017","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué episodio de 1618, en el que varios representantes imperiales fueron arrojados por una ventana, contribuyó a desencadenar la Guerra de los Treinta Años?","La Defenestración de Praga.","El incidente simbolizó la ruptura entre los estamentos bohemios protestantes y la autoridad de los Habsburgo.","retired","administrada","2","B2026-08-18|000002|HI-017"
"B2026-08-18|HI-018","B2026-08-18","HI-018","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué batalla naval de 1571 enfrentó a la Liga Santa con el Imperio otomano y contó con don Juan de Austria como comandante de la flota cristiana?","La batalla de Lepanto.","Lepanto fue una gran victoria naval de la Liga Santa en el Mediterráneo.","retired","administrada","8","B2026-08-18|000008|HI-018"
"B2026-08-18|HI-019","B2026-08-18","HI-019","HI","S_DIFICULTAD_TRIVIAL_V1|NIC","¿Qué imperio empleó durante siglos el sistema del «devşirme», por el que reclutaba jóvenes cristianos para servir al Estado y, entre otros destinos, a los jenízaros?","El Imperio otomano.","El devşirme fue un sistema de reclutamiento y conversión utilizado por el Estado otomano, especialmente en los Balcanes.","active","no administrada","20","B2026-08-18|000020|HI-019"
"B2026-08-18|HI-020","B2026-08-18","HI-020","HI","S_DIFICULTAD_TRIVIAL_V1|NIC","¿Qué batalla de 1260, librada en Palestina, supuso una gran derrota de los mongoles frente a los mamelucos?","La batalla de Ain Yalut (Ayn Jalut).","La victoria mameluca frenó la expansión mongola hacia Egipto y consolidó su poder en la región.","retired","administrada","6","B2026-08-18|000006|HI-020"
"B2026-08-18|HI-021","B2026-08-18","HI-021","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué tratado de 1919 impuso las principales condiciones de paz a Alemania tras la Primera Guerra Mundial?","El Tratado de Versalles.","El tratado fijó, entre otras medidas, pérdidas territoriales, limitaciones militares y reparaciones para Alemania.","active","no administrada","21","B2026-08-18|000021|HI-021"
"B2026-08-18|HI-022","B2026-08-18","HI-022","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué califa abasí fundó Bagdad en el siglo VIII y la convirtió en capital de su califato?","Al-Mansur.","El califa abasí al-Mansur fundó Bagdad en 762; la ciudad se convirtió después en uno de los grandes centros del mundo islámico.","active","no administrada","22","B2026-08-18|000022|HI-022"
"B2026-08-18|HI-023","B2026-08-18","HI-023","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué piedra hallada en 1799 permitió descifrar los jeroglíficos egipcios al contener textos equivalentes en tres escrituras?","La piedra de Rosetta.","El texto aparece en jeroglífico, demótico y griego antiguo.","active","curated","23","B2026-08-18|000023|HI-023"
