"attempt_id","match_id","question_no","player_id","question_id","question_key","bank_id","category_id","level_key","result_id","computable","correct","quesito_attempt","quesito_won","notes","active","source","source_event_id"
"A0002","P2026-08-18","2","J2","AL-010","B2026-08-18|AL-010","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna.","true","historical_seed",""
"A0003","P2026-08-18","3","J2","AL-011","B2026-08-18|AL-011","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","respondió «Rafael»; se acepta como plenamente correcto, sin exigir apellido por ser identificación inequívoca en contexto de Trivial.","true","historical_seed",""
"A0004","P2026-08-18","4","J2","HI-017","B2026-08-18|HI-017","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna.","true","historical_seed",""
"A0010","P2026-08-18","10","J2","FI-014","B2026-08-18|FI-014","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","true","false","pregunta de quesito azul; J2 falló y no obtuvo el quesito azul.","true","historical_seed",""
"A0017","P2026-08-18","17","J2","HI-016","B2026-08-18|HI-016","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna; J2 falló.","true","historical_seed",""
"A0022","P2026-08-18","22","J2","AL-014","B2026-08-18|AL-014","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito rosa; J2 acertó y obtuvo el quesito rosa.","true","historical_seed",""
"A0023","P2026-08-18","23","J2","LI-014","B2026-08-18|LI-014","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó. No era pregunta de quesito y no obtuvo el quesito morado.","true","historical_seed",""
"A0024","P2026-08-18","24","J2","FI-018","B2026-08-18|FI-018","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","true","false","pregunta de quesito azul; J2 falló y no obtuvo el quesito azul.","true","historical_seed",""
"A0028","P2026-08-18","28","J2","NE-019","B2026-08-18|NE-019","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","true","false","pregunta de quesito verde; J2 falló y no obtuvo el quesito verde.","true","historical_seed",""
"A0033","P2026-08-18","33","J2","AL-020","B2026-08-18|AL-020","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","false","false","ninguna; J2 falló.","true","historical_seed",""
"A0037","P2026-08-18","37","J2","AL-012","B2026-08-18|AL-012","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó.","true","historical_seed",""
"A0038","P2026-08-18","38","J2","AL-004","B2026-08-18|AL-004","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó","true","historical_seed",""
"A0039","P2026-08-18","39","J2","AL-019","B2026-08-18|AL-019","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","false","false","ninguna; J2 falló","true","historical_seed",""
"A0045","P2026-08-18","45","J2","LI-003","B2026-08-18|LI-003","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó.","true","historical_seed",""
"A0046","P2026-08-18","46","J2","LI-002","B2026-08-18|LI-002","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó.","true","historical_seed",""
"A0047","P2026-08-18","47","J2","HI-009","B2026-08-18|HI-009","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó.","true","historical_seed",""
"A0048","P2026-08-18","48","J2","NE-002","B2026-08-18|NE-002","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","true","false","pregunta de quesito verde; J2 falló y no obtuvo el quesito verde.","true","historical_seed",""
"A0055","P2026-08-18","55","J2","AL-009","B2026-08-18|AL-009","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J2 falló","true","historical_seed",""
"A0060","P2026-08-18","60","J2","IN-017","B2026-08-18|IN-017","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna; J2 falló.","true","historical_seed",""
"A0067","P2026-08-18","67","J2","AL-013","B2026-08-18|AL-013","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J2 acertó.","true","historical_seed",""
"A0068","P2026-08-18","68","J2","NE-012","B2026-08-18|NE-012","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","true","false","pregunta de quesito verde; J2 falló y no obtuvo el quesito verde.","true","historical_seed",""
"A0074","P2026-08-18","74","J2","AL-015","B2026-08-18|AL-015","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna; J2 falló.","true","historical_seed",""
