"attempt_id","match_id","question_no","player_id","question_id","question_key","bank_id","category_id","level_key","result_id","computable","correct","quesito_attempt","quesito_won","notes","active","source","source_event_id"
"A0005","P2026-08-18","5","J3","LI-001","B2026-08-18|LI-001","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna.","true","historical_seed",""
"A0006","P2026-08-18","6","J3","LI-013","B2026-08-18|LI-013","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna","true","historical_seed",""
"A0007","P2026-08-18","7","J3","LI-010","B2026-08-18|LI-010","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","NC","false","","false","false","el usuario pasó a la categoría naranja sin comunicar el resultado de esta pregunta.","true","historical_seed",""
"A0008","P2026-08-18","8","J3","IN-020","B2026-08-18|IN-020","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","false","false","ninguna.","true","historical_seed",""
"A0011","P2026-08-18","11","J3","LI-016","B2026-08-18|LI-016","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|AUT","ACI","true","true","false","false","ninguna.","true","historical_seed",""
"A0012","P2026-08-18","12","J3","NE-005","B2026-08-18|NE-005","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito verde; J3 acertó y obtuvo el quesito verde.","true","historical_seed",""
"A0013","P2026-08-18","13","J3","IN-014","B2026-08-18|IN-014","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna.","true","historical_seed",""
"A0018","P2026-08-18","18","J3","HI-013","B2026-08-18|HI-013","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J3 acertó.","true","historical_seed",""
"A0019","P2026-08-18","19","J3","AL-002","B2026-08-18|AL-002","B2026-08-18","AL","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J3 acertó.","true","historical_seed",""
"A0020","P2026-08-18","20","J3","HI-020","B2026-08-18|HI-020","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","false","false","ninguna; J3 falló.","true","historical_seed",""
"A0025","P2026-08-18","25","J3","LI-018","B2026-08-18|LI-018","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|AUT","ACI","true","true","true","true","pregunta de quesito morado; J3 acertó y obtuvo el quesito morado.","true","historical_seed",""
