"question_key","bank_id","question_id","category_id","level_key","prompt","answer","explanation","status","source_status","random_order","order_key"
"B2026-08-18|DE-001","B2026-08-18","DE-001","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos jugadores de cada equipo hay normalmente sobre el campo al comenzar un partido de fútbol?","11.","Un equipo de fútbol alinea once jugadores, incluido el guardameta.","active","curated","1","B2026-08-18|000001|DE-001"
"B2026-08-18|DE-002","B2026-08-18","DE-002","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuánto dura reglamentariamente un partido de fútbol, sin contar descuento ni prórroga?","90 minutos.","Se juegan dos partes de 45 minutos.","active","curated","2","B2026-08-18|000002|DE-002"
"B2026-08-18|DE-003","B2026-08-18","DE-003","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿A qué distancia de la línea de gol se sitúa el punto de penalti en fútbol?","11 metros.","El punto de penalti está a once metros de la línea de gol.","active","curated","3","B2026-08-18|000003|DE-003"
"B2026-08-18|DE-004","B2026-08-18","DE-004","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos puntos vale un tiro libre anotado en baloncesto?","1 punto.","Cada tiro libre convertido suma un punto.","active","curated","4","B2026-08-18|000004|DE-004"
"B2026-08-18|DE-005","B2026-08-18","DE-005","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos puntos vale una canasta convertida desde detrás de la línea de triple?","3 puntos.","Un lanzamiento válido desde fuera del arco de tres puntos suma tres.","active","curated","5","B2026-08-18|000005|DE-005"
"B2026-08-18|DE-006","B2026-08-18","DE-006","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos jugadores por equipo hay en pista en baloncesto?","5.","Cada equipo juega con cinco jugadores simultáneamente.","active","curated","6","B2026-08-18|000006|DE-006"
"B2026-08-18|DE-007","B2026-08-18","DE-007","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se llama en tenis el empate a 40 puntos?","Deuce o iguales.","Con 40-40 se juega con ventaja hasta lograr dos puntos de diferencia.","active","curated","7","B2026-08-18|000007|DE-007"
"B2026-08-18|DE-008","B2026-08-18","DE-008","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos jugadores por equipo hay en pista en voleibol?","6.","El voleibol de sala se juega con seis jugadores por equipo.","active","curated","8","B2026-08-18|000008|DE-008"
"B2026-08-18|DE-009","B2026-08-18","DE-009","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos sets debe ganar normalmente un equipo para imponerse en un partido de voleibol al mejor de cinco?","3 sets.","El primero que gana tres sets vence el partido.","active","curated","9","B2026-08-18|000009|DE-009"
"B2026-08-18|DE-010","B2026-08-18","DE-010","DE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cuántos puntos vale un ensayo o try en rugby union?","5 puntos.","El ensayo en rugby union vale cinco puntos.","active","curated","10","B2026-08-18|000010|DE-010"
