"attempt_id","match_id","question_no","player_id","question_id","question_key","bank_id","category_id","level_key","result_id","computable","correct","quesito_attempt","quesito_won","notes","active","source","source_event_id"
"A0001","P2026-08-18","1","J1","HI-015","B2026-08-18|HI-015","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","false","false","ninguna.","true","historical_seed",""
"A0009","P2026-08-18","9","J1","NE-001","B2026-08-18|NE-001","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","respondió «hipotálamo»; incorrecto. Se aclaró que el hipocampo es la estructura especialmente implicada en la formación de nuevos recuerdos episódicos.","true","historical_seed",""
"A0014","P2026-08-18","14","J1","HI-002","B2026-08-18|HI-002","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna.","true","historical_seed",""
"A0015","P2026-08-18","15","J1","NE-006","B2026-08-18|NE-006","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito verde; J1 acertó y obtuvo el quesito verde.","true","historical_seed",""
"A0016","P2026-08-18","16","J1","LI-015","B2026-08-18|LI-015","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|AUT","FAL","true","false","true","false","pregunta de quesito morado; J1 falló y no obtuvo el quesito morado","true","historical_seed",""
"A0021","P2026-08-18","21","J1","HI-004","B2026-08-18|HI-004","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","true","false","pregunta de quesito amarillo; J1 falló y no obtuvo el quesito amarillo.","true","historical_seed",""
"A0027","P2026-08-18","27","J1","NE-007","B2026-08-18|NE-007","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
"A0032","P2026-08-18","32","J1","LI-009","B2026-08-18|LI-009","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","true","false","pregunta de quesito morado; J1 falló y no obtuvo el quesito morado.","true","historical_seed",""
"A0036","P2026-08-18","36","J1","HI-006","B2026-08-18|HI-006","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
"A0041","P2026-08-18","41","J1","HI-001","B2026-08-18|HI-001","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito amarillo; J1 acertó y obtuvo el quesito amarillo","true","historical_seed",""
"A0042","P2026-08-18","42","J1","NE-004","B2026-08-18|NE-004","B2026-08-18","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó","true","historical_seed",""
"A0043","P2026-08-18","43","J1","FI-003","B2026-08-18|FI-003","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito azul; J1 acertó y obtuvo el quesito azul.","true","historical_seed",""
"A0044","P2026-08-18","44","J1","HI-010","B2026-08-18|HI-010","B2026-08-18","HI","S_DIFICULTAD_TRIVIAL_V1|CUR","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
"A0052","P2026-08-18","52","J1","IN-003","B2026-08-18|IN-003","B2026-08-18","IN","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó","true","historical_seed",""
"A0053","P2026-08-18","53","J1","FI-001","B2026-08-18|FI-001","B2026-08-18","FI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","false","false","ninguna; J1 acertó","true","historical_seed",""
"A0054","P2026-08-18","54","J1","LI-020","B2026-08-18|LI-020","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|NIC","FAL","true","false","false","false","ninguna; J1 falló.","true","historical_seed",""
"A0057","P2026-08-18","57","J1","LI-007","B2026-08-18|LI-007","B2026-08-18","LI","S_DIFICULTAD_TRIVIAL_V1|CUR","ACI","true","true","true","true","pregunta de quesito morado; J1 acertó y obtuvo el quesito morado.","true","historical_seed",""
