exposure_id,match_id,bank_id,question_key,question_id,player_id,question_no,type,counts_as_attempt,reason,source,active,source_event_id
IMP-E-3df741c4fcf76b9c,M20260826-c31a20b1,B2026-08-18,B2026-08-18|LI-005,LI-005,J1,1,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-3df741c4fcf76b9c
IMP-E-e45be82315f9fe35,M20260826-c31a20b1,B2026-08-18,B2026-08-18|HI-003,HI-003,J2,2,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-e45be82315f9fe35
IMP-E-a510a68beb68eaa9,M20260826-c31a20b1,B2026-08-18,B2026-08-18|IN-001,IN-001,J3,3,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a510a68beb68eaa9
IMP-E-a49cc14905acb50f,M20260826-c31a20b1,B2026-08-18,B2026-08-18|AL-007,AL-007,J1,4,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-a49cc14905acb50f
IMP-E-1e82576b5f4fcfe4,M20260826-c31a20b1,B2026-08-18,B2026-08-18|LI-004,LI-004,J2,5,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-1e82576b5f4fcfe4
IMP-E-f38d548b7b6d6f9f,M20260826-c31a20b1,B2026-08-18,B2026-08-18|AL-017,AL-017,J3,6,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-f38d548b7b6d6f9f
IMP-E-121353036f73f612,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DE-071,DE-071,J3,1,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-121353036f73f612
IMP-E-cbc54c0d8113435d,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|HI-005,HI-005,J1,2,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-cbc54c0d8113435d
IMP-E-16098e84b0a867a0,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|AL-005,AL-005,J2,3,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-16098e84b0a867a0
IMP-E-e28bb56af3ea7edc,M20260828-b8b48f3a,B2026-08-18,B2026-08-18|DR-001,DR-001,J2,4,administrada_importada,true,pregunta_ya_utilizada,trivial-server-2026-08-28.json,true,E-e28bb56af3ea7edc
